w1,w2,freq_bigram,freq_w1,freq_w2,pmi
денежных,агрегатов,8,25,10,9.183828826140052
временных,интервалов,6,27,7,9.175860656490876
национального,благосостояния,13,18,23,9.164931585958685
физическим,лицам,19,19,32,9.160112299522737
заблокированными,активами,7,7,32,9.160112299522737
регуляторных,послаблений,10,13,25,9.144608112986772
трудовых,мигрантов,5,33,5,9.129340640855983
фондами,договоров,6,10,20,9.119290305002481
подушку,безопасности,8,10,27,9.106867785003924
опережающие,индикаторы,6,7,29,9.10440169250873
понятное,дело,8,8,34,9.099487677706302
предусмотренных,пунктом,6,34,6,9.099487677706302
предусмотренных,примерным,6,34,6,9.099487677706302
частному,сектору,7,7,34,9.099487677706302
системно,значимых,10,18,19,9.093622558253903
структурными,изменениями,5,9,19,9.093622558253903
предусмотрено,наличие,6,9,23,9.084888878285149
структурная,перестройка,21,26,28,9.0800695918492
вкладчиков,кредиторов,6,19,11,9.075273419585708
среднего,предпринимательства,6,30,7,9.07050014083305
запас,прочности,6,30,7,9.07050014083305
переданным,договорам,6,6,35,9.07050014083305
всей,видимости,9,35,9,9.07050014083305
пенсионные,фонды,15,23,23,9.062909971566373
волатильных,компонентов,7,13,19,9.0623700147498
поправкой,сезонность,13,16,29,9.050913007557744
покупательную,способность,11,11,36,9.042329263866353
ничего,найдено,8,32,9,9.042329263866353
подушки,безопасности,6,8,27,9.042329263866353
цифровым,рублем,5,12,15,9.042329263866353
замещающие,облигации,6,6,36,9.042329263866353
покупательная,способность,9,9,36,9.042329263866353
московской,бирже,7,11,23,9.038368862650257
плодоовощную,продукцию,13,14,34,9.025379705552579
письма,особенностях,6,22,10,9.023980125198158
